",client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome"
"0,0,56,housemaid,married,basic.4y,no,no,may,13,261,1,0,nonexistent,93.994,4.857,no"
"1,1,57,services,married,high.school,unknown,no,may,19,149,1,0,nonexistent,93.994,4.857,no"
"2,2,37,services,married,high.school,no,yes,may,23,226,1,0,nonexistent,93.994,4.857,no"
"3,3,40,admin.,married,basic.6y,no,no,may,27,151,1,0,nonexistent,93.994,4.857,no"
"4,4,56,services,married,high.school,no,no,may,3,307,1,0,nonexistent,93.994,4.857,no"
"5,5,45,services,married,basic.9y,unknown,no,may,5,198,1,0,nonexistent,93.994,4.857,no"
"6,6,59,admin.,married,professional.course,no,no,may,3,139,1,0,nonexistent,93.994,4.857,no"
"7,7,41,blue-collar,married,unknown,unknown,no,may,12,217,1,0,nonexistent,93.994,4.857,no"
"8,8,24,technician,single,professional.course,no,yes,may,21,380,1,0,nonexistent,93.994,4.857,no"
"9,9,25,services,single,high.school,no,yes,may,5,50,1,0,nonexistent,93.994,4.857,no"
"10,10,41,blue-collar,married,unknown,unknown,no,may,8,55,1,0,nonexistent,93.994,4.857,no"
"11,11,25,services,single,high.school,no,yes,may,9,222,1,0,nonexistent,93.994,4.857,no"
"12,12,29,blue-collar,single,high.school,no,no,may,29,137,1,0,nonexistent,93.994,4.857,no"
"13,13,57,housemaid,divorced,basic.4y,no,yes,may,14,293,1,0,nonexistent,93.994,4.857,no"
"14,14,35,blue-collar,married,basic.6y,no,yes,may,29,146,1,0,nonexistent,93.994,4.857,no"
"15,15,54,retired,married,basic.9y,unknown,yes,may,29,174,1,0,nonexistent,93.994,4.857,no"
"16,16,35,blue-collar,married,basic.6y,no,yes,may,1,312,1,0,nonexistent,93.994,4.857,no"
"17,17,46,blue-collar,married,basic.6y,unknown,yes,may,9,440,1,0,nonexistent,93.994,4.857,no"
"18,18,50,blue-collar,married,basic.9y,no,yes,may,6,353,1,0,nonexistent,93.994,4.857,no"
"19,19,39,management,single,basic.9y,unknown,no,may,2,195,1,0,nonexistent,93.994,4.857,no"
"20,20,30,unemployed,married,high.school,no,no,may,2,38,1,0,nonexistent,93.994,4.857,no"
"21,21,55,blue-collar,married,basic.4y,unknown,yes,may,16,262,1,0,nonexistent,93.994,4.857,no"
"22,22,55,retired,single,high.school,no,yes,may,20,342,1,0,nonexistent,93.994,4.857,no"
"23,23,41,technician,single,high.school,no,yes,may,10,181,1,0,nonexistent,93.994,4.857,no"
"24,24,37,admin.,married,high.school,no,yes,may,2,172,1,0,nonexistent,93.994,4.857,no"
